"lake","year","date","doy","depth","TN","TP","flag"
"R",2024,2024-05-20,141,"PML",359.549,14.157,NA
"R",2024,2024-05-20,141,"Meta",378.527,19.369,NA
"R",2024,2024-05-20,141,"Hypo",1331.409,153.074,NA
"R",2024,2024-05-27,148,"PML",284.092,11.213,NA
"R",2024,2024-05-27,148,"Meta",472.462,24.469,NA
"R",2024,2024-05-27,148,"Hypo",1236.516,140.992,NA
"R",2024,2024-06-03,155,"PML",277.905,11.744,NA
"R",2024,2024-06-03,155,"Meta",288.294,18.736,NA
"R",2024,2024-06-03,155,"Hypo",1229.195,156.377,NA
"R",2024,2024-06-10,162,"PML",267.565,10.441,NA
"R",2024,2024-06-10,162,"Meta",266.636,17.994,NA
"R",2024,2024-06-10,162,"Hypo",1187.499,171.328,NA
"R",2024,2024-06-17,169,"PML",372.587,23.35,NA
"R",2024,2024-06-17,169,"Meta",330.595,20.872,NA
"R",2024,2024-06-17,169,"Hypo",1201.647,160.613,NA
"R",2024,2024-06-24,176,"PML",517.543,58.261,NA
"R",2024,2024-06-24,176,"Meta",308.129,18.836,NA
"R",2024,2024-06-24,176,"Hypo",1114.816,151.512,NA
"R",2024,2024-07-01,183,"PML",389.789,20.1,NA
"R",2024,2024-07-01,183,"Meta",281.521,17.938,NA
"R",2024,2024-07-01,183,"Hypo",1243.234,209.252,NA
"R",2024,2024-07-08,190,"PML",422.438,23.926,NA
"R",2024,2024-07-08,190,"Meta",299.395,19.533,NA
"R",2024,2024-07-08,190,"Hypo",1324.599,207.835,NA
"R",2024,2024-07-15,197,"PML",918.962,23.452,NA
"R",2024,2024-07-15,197,"Meta",769.728,19.346,NA
"R",2024,2024-07-15,197,"Hypo",1729.138,143.369,NA
"R",2024,2024-07-22,204,"PML",536.366,28.547,NA
"R",2024,2024-07-22,204,"Meta",330.605,22.642,NA
"R",2024,2024-07-22,204,"Hypo",1432.204,228.73,NA
"R",2024,2024-07-29,211,"PML",635.255,21.768,NA
"R",2024,2024-07-29,211,"Meta",397.47,24.198,NA
"R",2024,2024-07-29,211,"Hypo",1433.246,211.409,NA
"R",2024,2024-08-05,218,"PML",661.736,23.166,NA
"R",2024,2024-08-05,218,"Meta",415.445,22.697,NA
"R",2024,2024-08-05,218,"Hypo",1163.444,171.062,NA
"R",2024,2024-08-12,225,"PML",600.811,8.612,NA
"R",2024,2024-08-12,225,"Meta",351.477,24.251,NA
"R",2024,2024-08-12,225,"Hypo",1149.549,184.787,NA
"R",2024,2024-08-19,232,"PML",597.463,25.402,NA
"R",2024,2024-08-19,232,"Meta",450.745,26.06,NA
"R",2024,2024-08-19,232,"Hypo",1798.168,265.963,NA
"L",2024,2024-05-21,142,"PML",204.734,10.271,NA
"L",2024,2024-05-21,142,"Meta",167.84,12.724,NA
"L",2024,2024-05-21,142,"Hypo",592.5,43.789,NA
"L",2024,2024-05-28,149,"PML",227.154,22.092,NA
"L",2024,2024-05-28,149,"Meta",328.639,8.512,NA
"L",2024,2024-05-28,149,"Hypo",818.08,45.959,NA
"L",2024,2024-06-04,156,"PML",205.365,9.725,NA
"L",2024,2024-06-04,156,"Meta",177.781,10.861,NA
"L",2024,2024-06-04,156,"Hypo",742.25,56.261,NA
"L",2024,2024-06-11,163,"PML",259.311,11.252,NA
"L",2024,2024-06-11,163,"Meta",265.171,19.613,NA
"L",2024,2024-06-11,163,"Hypo",661.811,58.347,NA
"L",2024,2024-06-18,170,"PML",250.854,11.692,NA
"L",2024,2024-06-18,170,"Meta",205.625,10.557,NA
"L",2024,2024-06-18,170,"Hypo",832.637,68.804,NA
"L",2024,2024-06-25,177,"PML",217.345,10.894,NA
"L",2024,2024-06-25,177,"Meta",193.119,14.992,NA
"L",2024,2024-06-25,177,"Hypo",676.651,57.31,NA
"L",2024,2024-07-02,184,"PML",240.743,10.478,NA
"L",2024,2024-07-02,184,"Meta",193.854,9.099,NA
"L",2024,2024-07-02,184,"Hypo",1311.573,137.723,NA
"L",2024,2024-07-09,191,"PML",228.909,11.968,NA
"L",2024,2024-07-09,191,"Meta",235.459,18.143,NA
"L",2024,2024-07-09,191,"Hypo",762.97,68.528,NA
"L",2024,2024-07-16,198,"PML",275.493,13.06,NA
"L",2024,2024-07-16,198,"Meta",209.213,12.93,NA
"L",2024,2024-07-16,198,"Hypo",829.289,62.208,NA
"L",2024,2024-07-23,205,"PML",206.329,10.357,NA
"L",2024,2024-07-23,205,"Meta",208.376,11.436,NA
"L",2024,2024-07-23,205,"Hypo",832.46,63.838,NA
"L",2024,2024-07-30,212,"PML",253.541,10.676,NA
"L",2024,2024-07-30,212,"Meta",204.593,14.095,NA
"L",2024,2024-07-30,212,"Hypo",810.783,58.941,NA
"L",2024,2024-08-06,219,"PML",221.113,9.834,NA
"L",2024,2024-08-06,219,"Meta",236.701,11.717,NA
"L",2024,2024-08-06,219,"Hypo",1041.328,59.838,NA
"L",2024,2024-08-13,226,"PML",343.699,14.093,NA
"L",2024,2024-08-13,226,"Meta",244.274,17.589,NA
"L",2024,2024-08-13,226,"Hypo",1479.571,140.061,NA
"L",2024,2024-08-20,233,"PML",4690.568,20.94,1
"L",2024,2024-08-20,233,"Meta",4750.909,13.572,1
"L",2024,2024-08-20,233,"Hypo",5967.771,102.468,1
"T",2024,2024-05-22,143,"PML",527.415,19.047,NA
"T",2024,2024-05-22,143,"Meta",760.011,31.948,NA
"T",2024,2024-05-22,143,"Hypo",486.5,28.351,NA
"T",2024,2024-05-29,150,"PML",459.158,20.472,NA
"T",2024,2024-05-29,150,"Meta",439.616,20.341,NA
"T",2024,2024-05-29,150,"Hypo",587.035,30.405,NA
"T",2024,2024-06-05,157,"PML",436.276,17.842,NA
"T",2024,2024-06-05,157,"Meta",390.34,14.167,NA
"T",2024,2024-06-05,157,"Hypo",718.207,31.177,NA
"T",2024,2024-06-12,164,"PML",405.518,18.015,NA
"T",2024,2024-06-12,164,"Meta",368.463,16.176,NA
"T",2024,2024-06-12,164,"Hypo",555.273,33.329,NA
"T",2024,2024-06-19,171,"PML",416.043,27.52,NA
"T",2024,2024-06-19,171,"Meta",339.702,18.979,NA
"T",2024,2024-06-19,171,"Hypo",491.009,28.503,NA
"T",2024,2024-06-26,178,"PML",419.54,25.752,NA
"T",2024,2024-06-26,178,"Meta",369.558,19.694,NA
"T",2024,2024-06-26,178,"Hypo",687.997,36.076,NA
"T",2024,2024-07-03,185,"PML",498.023,29.65,NA
"T",2024,2024-07-03,185,"Meta",386.533,21.313,NA
"T",2024,2024-07-03,185,"Hypo",572.26,34.748,NA
"T",2024,2024-07-10,192,"PML",437.067,29.102,NA
"T",2024,2024-07-10,192,"Meta",415.546,23.937,NA
"T",2024,2024-07-10,192,"Hypo",736.159,37.624,NA
"T",2024,2024-07-17,199,"PML",410.991,29.61,NA
"T",2024,2024-07-17,199,"Meta",341.384,22.544,NA
"T",2024,2024-07-17,199,"Hypo",728.085,40.128,NA
"T",2024,2024-07-24,206,"PML",467.108,32.362,NA
"T",2024,2024-07-24,206,"Meta",379.361,23.96,NA
"T",2024,2024-07-24,206,"Hypo",558.53,35.266,NA
"T",2024,2024-07-31,213,"PML",485.758,30.862,NA
"T",2024,2024-07-31,213,"Meta",389.585,23.429,NA
"T",2024,2024-07-31,213,"Hypo",818.678,46.212,NA
"T",2024,2024-08-07,220,"PML",460.036,34.581,NA
"T",2024,2024-08-07,220,"Meta",396.344,25.543,NA
"T",2024,2024-08-07,220,"Hypo",903.612,52.188,NA
"T",2024,2024-08-14,227,"PML",514.856,37.263,NA
"T",2024,2024-08-14,227,"Meta",392.199,26.927,NA
"T",2024,2024-08-14,227,"Hypo",761.283,41.673,NA
"T",2024,2024-08-21,234,"PML",556.998,62.044,NA
"T",2024,2024-08-21,234,"Meta",376.105,39.349,NA
"T",2024,2024-08-21,234,"Hypo",833.324,85.253,NA
