"lake","year","doy","mean.epi.chl","chl.thresh","DCM.depth","DCM.chl","depth"
"L","2022",153,2.33333333333333,3.5,6.5,20.09,6.5
"L","2022",154,2.55,3.825,5.75,20.9,5.75
"L","2022",155,1.96333333333333,2.945,6.5,20.03,6.5
"L","2022",156,1.09055555555556,1.63583333333333,4,20.2,4
"L","2022",157,2.01611111111111,3.02416666666667,6,19.08,6
"L","2022",158,1.06611111111111,1.59916666666667,6.5,22.35,6.5
"L","2022",159,1.24,1.86,6.5,20.79,6.5
"L","2022",160,0.286666666666667,0.43,6,23.09,6
"L","2022",161,0.349444444444444,0.524166666666667,6,30.2,6
"L","2022",162,0.582222222222222,0.873333333333333,5.75,26.36,5.75
"L","2022",163,0.21,0.315,6,30.74,6
"L","2022",164,0.534444444444444,0.801666666666667,6,24.79,6
"L","2022",165,0.699444444444444,1.04916666666667,6,28.75,6
"L","2022",166,0.170555555555556,0.255833333333333,6.5,39.33,6.5
"L","2022",167,0.157777777777778,0.236666666666667,6,27.65,6
"L","2022",168,0.346111111111111,0.519166666666667,6.5,35.85,6.5
"L","2022",169,0.138333333333333,0.2075,5.75,25.42,5.75
"L","2022",170,0.298888888888889,0.448333333333333,6.5,40.66,6.5
"L","2022",171,0.16,0.24,6.5,47.28,6.5
"L","2022",172,0.191111111111111,0.286666666666667,6.25,47.48,6.25
"L","2022",173,0.347777777777778,0.521666666666667,6.25,44.65,6.25
"L","2022",174,0.188888888888889,0.283333333333333,6.5,48.66,6.5
"L","2022",175,0.253333333333333,0.38,6.75,42.21,6.75
"L","2022",176,0.586666666666667,0.88,6.5,40.02,6.5
"L","2022",177,0.379444444444444,0.569166666666667,6.5,44.46,6.5
"L","2022",178,0.269444444444444,0.404166666666667,6.5,41.29,6.5
"L","2022",179,0.383888888888889,0.575833333333333,6.5,49.89,6.5
"L","2022",180,0.384444444444444,0.576666666666667,6.5,54.6,6.5
"L","2022",181,0.393888888888889,0.590833333333333,6.75,52.5,6.75
"L","2022",182,0.315,0.4725,6.75,63.53,6.75
"L","2022",183,0.387777777777778,0.581666666666667,6.5,52.84,6.5
"L","2022",184,0.262222222222222,0.393333333333333,6.5,44.05,6.5
"L","2022",185,0.455555555555556,0.683333333333333,6.75,42.11,6.75
"L","2022",186,0.648888888888889,0.973333333333333,6.75,41.8,6.75
