"lake","year","date","ZID","carbon","doy","depth","depth.rounded","manual.chl","c.to.chl","c.to.chl.corr"
"T",2022,2022-06-08,1,660,159,0,0,4.2141582338737,156.61490702814,67.3444100221002
"T",2022,2022-06-29,2,826.666666666667,180,0.4,0.5,6.05389880588198,136.551120719672,58.7169819094588
"T",2022,2022-06-29,4,880,180,2.2,2.25,6.73991698743112,130.565406315992,56.1431247158765
"L",2022,2022-06-28,2,500,179,0.9,1,2.24700860530149,222.518061933685,137.961198398885
"R",2022,2022-06-27,4,520,178,2.2,2.25,3.61570305268053,143.817120052072,76.2230736275983
"R",2022,2022-06-27,5,586.666666666667,178,3.3,3.25,4.79570611333511,122.331655193666,64.835777252643
"L",2022,2022-06-28,1,406.666666666667,179,0,0,2.53455617713446,160.448866880686,99.4782974660252
"L",2022,2022-06-28,4,506.666666666667,179,3.7,3.75,3.74776380617011,135.191728420163,83.8188716205012
"R",2022,2022-06-27,6,1480,178,4.3,4.25,40.78906996903,36.2842300921233,19.2306419488253
"L",2022,2022-06-28,6,1853.33333333333,179,6.4,6.5,27.921508469978,66.3765475037314,41.1534594523135
"L",2022,2022-06-28,5,706.666666666667,179,4.7,4.75,9.18094043266173,76.9710545286471,47.7220538077612
"T",2022,2022-06-22,5,993.333333333333,173,2.5,2.5,8.85914477361257,112.125194780881,48.2138337557788
"L",2022,2022-06-28,3,406.666666666667,179,1.9,2,3.03474367765159,134.003629255886,83.0822501386491
"R",2022,2022-06-06,1,493.333333333333,157,0,0,5.80473500027996,84.98808874299,45.0436870337847
"R",2022,2022-06-27,2,520,178,0.65,0.75,3.18227312661087,163.405207319147,86.604759879148
"T",2022,2022-06-08,3,646.666666666667,159,1.2,1.25,3.79269576074473,170.503174380559,73.3163649836405
"R",2022,2022-06-27,1,406.666666666667,178,0,0,3.48345247062707,116.742418648089,61.8734818834874
"R",2022,2022-06-06,2,513.333333333333,157,0.7,0.75,7.12589156674988,72.0377693829356,38.1800177729558
"T",2022,2022-06-29,3,826.666666666667,180,1.7,1.75,6.51089402834192,126.966690452676,54.5956768946508
"R",2022,2022-06-27,3,486.666666666667,178,1.6,1.5,3.15344609821251,154.328519184941,81.7941151680187
"T",2022,2022-06-22,1,820,173,0,0,5.51310234645968,148.736582139923,63.9567303201667
"R",2022,2022-05-30,2,660,150,0.65,0.75,4.21469650012291,156.594905464902,82.995299896398
"R",2022,2022-05-30,5,906.666666666667,150,3.2,3.25,17.26255745623,52.5221520024227,27.836740561284
"R",2022,2022-05-30,6,1580,150,4.3,4.25,57.4739887941444,27.4906968030201,14.5700693056007
"L",2022,2022-06-07,1,700,158,0,0,4.50008526545238,155.552608163666,96.4426170614728
"R",2022,2022-06-13,2,3240,164,0.7,0.75,4.97341328013409,651.464058485131,345.275950997119
"L",2022,2022-05-31,6,2333.33333333333,151,6.2,6.25,38.8181470940508,60.1093433872565,37.267792900099
"R",2022,2022-05-30,4,773.333333333333,150,2.4,2.5,7.60620448312546,101.671383546024,53.8858332793926
"R",2022,2022-06-13,5,706.666666666667,164,3.3,3.25,7.32628629710876,96.4563269859581,51.1218533025578
"T",2022,2022-06-08,2,813.333333333333,159,0.65,0.75,4.11988987142927,197.41628021993,84.88900049457
"R",2022,2022-06-20,2,506.666666666667,171,0.8,0.75,3.57728160781215,141.634548859725,75.0663108956544
"R",2022,2022-06-13,3,506.666666666667,164,1.3,1.25,6.08799151357424,83.2239443069139,44.1086904826643
"T",2022,2022-06-29,1,953.333333333333,180,0,0,5.10431927309704,186.769926081622,80.3110682150975
"R",2022,2022-05-30,3,573.333333333333,150,1.3,1.25,4.63030981334383,123.82180813929,65.6255583138239
"R",2022,2022-06-13,4,660,164,2.6,2.5,7.32342917985797,90.1217153591427,47.7645091403456
"R",2022,2022-06-20,6,2560,171,4.4,4.5,114.745553594171,22.3102326827769,11.8244233218717
"R",2022,2022-06-20,1,526.666666666667,171,0,0,3.12076005965151,168.762306809796,89.4440226091921
"T",2022,2022-06-22,2,940,173,0.6,0.5,5.30899178476044,177.058100315447,76.1349831356424
"R",2022,2022-06-20,5,1053.33333333333,171,3.4,3.5,8.79161030154541,119.811194673651,63.4999331770351
"T",2022,2022-06-22,4,980,173,2.2,2.25,8.08881400216433,121.154967803411,52.0966361554668
"R",2022,2022-06-20,4,566.666666666667,171,2.6,2.5,4.52750095974532,125.16102629353,66.3353439355709
"T",2022,2022-06-22,3,953.333333333333,173,1.8,1.75,6.4918139251842,146.851611016606,63.1461927371404
"T",2022,2022-06-22,6,1166.66666666667,173,3.8,3.75,24.1817188988678,48.2458121172391,20.7456992104128
"L",2022,2022-05-31,5,993.333333333333,151,4.2,4.25,9.90029523724508,100.333708190479,62.2068990780968
"T",2022,2022-06-29,5,906.666666666667,180,2.6,2.5,7.71409528780482,117.533765508447,50.5395191686322
"T",2022,2022-06-29,6,1026.66666666667,180,3.7,3.75,14.1559218618018,72.5255957675928,31.1860061800649
"L",2022,2022-06-14,3,500,165,1.9,2,3.60313597113822,138.768007648085,86.0361647418129
"L",2022,2022-06-14,6,2140,165,6.4,6.5,46.9942746998757,45.5374620348308,28.2332264615951
"L",2022,2022-06-07,2,526.666666666667,158,0.85,0.75,4.3299572462864,121.633225620961,75.4125998849955
"L",2022,2022-05-31,2,933.333333333333,151,0.95,1,3.10073655518101,301.00375079393,186.622325492237
"L",2022,2022-05-31,3,833.333333333333,151,2,2,5.05353062288687,164.901213729518,102.238752512301
"R",2022,2022-06-06,5,866.666666666667,157,3.3,3.25,12.4768322345318,69.4620758198556,36.8149001845235
"L",2022,2022-06-14,2,440,165,1,1,3.25684632699682,135.100018798163,83.7620116548613
"L",2022,2022-05-31,1,606.666666666667,151,0,0,2.54477928858356,238.396575053997,147.805876533478
"L",2022,2022-06-07,3,580,158,1.8,1.75,4.36261206540495,132.947874187425,82.4276819962035
"L",2022,2022-06-14,5,793.333333333333,165,4.4,4.5,9.05334836557307,87.6287204798305,54.3298066974949
"L",2022,2022-06-14,1,373.333333333333,165,0,0,3.5946403355049,103.858327534428,64.3921630713453
"L",2022,2022-06-14,4,580,165,3.3,3.25,5.00267415112931,115.937992857094,71.8815555713984
"L",2022,2022-06-07,5,906.666666666667,158,4,4,16.0136362204036,56.6184128443887,35.103415963521
"R",2022,2022-06-06,6,1133.33333333333,157,4.3,4.25,42.4556427529409,26.6945277434253,14.1480997040154
"R",2022,2022-06-06,3,753.333333333333,157,1.4,1.5,5.32015183832733,141.59996861484,75.0479833658652
"R",2022,2022-06-06,4,553.333333333333,157,2.6,2.5,5.73784644771185,96.4357164967342,51.1109297432691
