"lake","doy","depth","year","date_time","chl_ugL","do_mgL","do_percent","temp","pH","phyco_cells","SPC","flag"
"L",153,0,2022,"2022-06-02 09:06:20",0.69,8.52,98,18.7,5.78,345,10,NA
"R",153,0,2022,"2022-06-02 08:39:20",0.57,8.65,99.8,18.81,5.98,431,12,NA
"T",153,0,2022,"2022-06-02 09:47:20",1.45,8.54,99.6,19.43,5.74,341,8,NA
"L",154,0,2022,"2022-06-03 10:58:20",1.82,8.65,98.2,18.07,NA,371,10,"pH"
"R",154,0,2022,"2022-06-03 10:34:20",1.12,8.29,94.4,18.22,NA,354,12,"pH"
"T",154,0,2022,"2022-06-03 11:28:20",0.89,8.31,95.1,18.42,NA,314,8,"pH"
"L",155,0,2022,"2022-06-04 09:14:20",0.92,8.74,98.4,17.66,6.65,316,10,NA
"R",155,0,2022,"2022-06-04 08:50:20",1.28,8.69,98.3,17.88,6.46,366,12,NA
"T",155,0,2022,"2022-06-04 08:22:20",3.1,8.31,93.9,17.82,NA,407,8,"pH"
"L",156,0,2022,"2022-06-05 09:19:20",0.35,8.66,98.7,18.27,6.47,313,10,NA
"R",156,0,2022,"2022-06-05 08:57:20",1.24,8.53,97.5,18.42,6.19,326,12,NA
"T",156,0,2022,"2022-06-05 08:29:20",0.61,8.29,94.4,18.2,NA,934,8,"pH"
"L",157,0,2022,"2022-06-06 09:01:20",1.35,8.46,95.5,17.79,6.07,366,10,NA
"R",157,0,2022,"2022-06-06 09:25:20",2.42,8.52,97,18.15,6.35,380,12,NA
"T",157,0,2022,"2022-06-06 08:32:20",3.49,8.13,92.6,18.22,6.56,396,8,NA
"L",158,0,2022,"2022-06-07 09:28:20",0,8.3,94.9,18.43,6.16,38,10,NA
"R",158,0,2022,"2022-06-07 09:00:20",0.46,8.58,98.4,18.57,6.23,78,12,NA
"T",158,0,2022,"2022-06-07 08:33:20",1.77,8,91.6,18.48,6.04,101,8,NA
"L",159,0,2022,"2022-06-08 08:52:20",0.26,8.31,95.5,18.68,6.38,345,10,NA
"R",159,0,2022,"2022-06-08 08:28:20",1.04,8.5,98,18.8,6.21,358,12,NA
"T",159,0,2022,"2022-06-08 09:29:20",0.56,8.2,95.2,19.15,6.33,0,8,NA
"L",160,0,2022,"2022-06-09 09:07:20",0,8.32,95,18.37,5.77,379,10,NA
