"doy","lake","depth","year","k","kcrit.depth","perc.light"
150,"R",0,2022,-1.05239449179277,4.37589709554164,100
150,"L",0,2022,-0.739709351395153,6.22564794038938,100
150,"T",0,2022,-1.23966106778692,3.71486216649627,100
150,"R",0.25,2022,-1.05239449179277,4.37589709554164,76.8666085457304
150,"L",0.25,2022,-0.739709351395153,6.22564794038938,83.1164675871352
150,"T",0.25,2022,-1.23966106778692,3.71486216649627,73.3509106057337
150,"R",0.5,2022,-1.05239449179277,4.37589709554164,59.0847550932255
150,"L",0.5,2022,-0.739709351395153,6.22564794038938,69.083471841633
150,"T",0.5,2022,-1.23966106778692,3.71486216649627,53.8035608669034
150,"R",0.75,2022,-1.05239449179277,4.37589709554164,45.4164474077132
150,"L",0.75,2022,-0.739709351395153,6.22564794038938,57.4197414813186
150,"T",0.75,2022,-1.23966106778692,3.71486216649627,39.4654018341838
150,"R",1,2022,-1.05239449179277,4.37589709554164,34.9100828442644
150,"L",1,2022,-0.739709351395153,6.22564794038938,47.725260816937
150,"T",1,2022,-1.23966106778692,3.71486216649627,28.9482316195858
150,"R",1.25,2022,-1.05239449179277,4.37589709554164,26.8341967228909
150,"L",1.25,2022,-0.739709351395153,6.22564794038938,39.6675509377851
150,"T",1.25,2022,-1.23966106778692,3.71486216649627,21.2337914972231
150,"R",1.5,2022,-1.05239449179277,4.37589709554164,20.6265369513758
150,"L",1.5,2022,-0.739709351395153,6.22564794038938,32.9702671178145
150,"T",1.5,2022,-1.23966106778692,3.71486216649627,15.575179419336
150,"R",1.75,2022,-1.05239449179277,4.37589709554164,15.8549194149545
150,"L",1.75,2022,-0.739709351395153,6.22564794038938,27.4037213823702
150,"T",1.75,2022,-1.23966106778692,3.71486216649627,11.4245359325598
150,"R",2,2022,-1.05239449179277,4.37589709554164,12.187138841934
150,"L",2,2022,-0.739709351395153,6.22564794038938,22.7770052004466
150,"T",2,2022,-1.23966106778692,3.71486216649627,8.38000113901185
150,"R",2.25,2022,-1.05239449179277,4.37589709554164,9.36784030655411
150,"L",2.25,2022,-0.739709351395153,6.22564794038938,18.9314421447493
150,"T",2.25,2022,-1.23966106778692,3.71486216649627,6.14680714423605
150,"R",2.5,2022,-1.05239449179277,4.37589709554164,7.20074113762809
