"doy","depth","lake","year","k","kcrit.depth","perc.light"
134,0,"L",2022,NA,NA,100
134,0,"L",2024,NA,NA,100
134,0,"R",2022,NA,NA,100
134,0,"R",2024,-0.922852758592979,4.99014599796098,100
134,0,"T",2022,NA,NA,100
134,0,"T",2024,-1.31162478687319,3.51104221732373,100
134,0.25,"L",2022,NA,NA,83.1164675871352
134,0.25,"L",2024,NA,NA,85.5863568824332
134,0.25,"R",2022,NA,NA,76.8666085457304
134,0.25,"R",2024,-0.922852758592979,4.99014599796098,79.3967151380395
134,0.25,"T",2022,NA,NA,73.3509106057337
134,0.25,"T",2024,-1.31162478687319,3.51104221732373,72.0430595289923
134,0.5,"L",2022,NA,NA,69.083471841633
134,0.5,"L",2024,NA,NA,73.2502448440723
134,0.5,"R",2022,NA,NA,59.0847550932255
134,0.5,"R",2024,-0.922852758592979,4.99014599796098,63.0383837471098
134,0.5,"T",2022,NA,NA,53.8035608669034
134,0.5,"T",2024,-1.31162478687319,3.51104221732373,51.9020242629793
134,0.75,"L",2022,NA,NA,57.4197414813186
134,0.75,"L",2024,NA,NA,62.6922159695038
134,0.75,"R",2022,NA,NA,45.4164474077132
134,0.75,"R",2024,-0.922852758592979,4.99014599796098,50.050405971317
134,0.75,"T",2022,NA,NA,39.4654018341838
134,0.75,"T",2024,-1.31162478687319,3.51104221732373,37.3918062365302
134,1,"L",2022,NA,NA,47.725260816937
134,1,"L",2024,NA,NA,53.6559836971653
134,1,"R",2022,NA,NA,34.9100828442644
134,1,"R",2024,-0.922852758592979,4.99014599796098,39.7383782544788
134,1,"T",2022,NA,NA,28.9482316195858
134,1,"T",2024,-1.31162478687319,3.51104221732373,26.9382012259489
134,1.25,"L",2022,NA,NA,39.6675509377851
134,1.25,"L",2024,NA,NA,45.9222016958361
134,1.25,"R",2022,NA,NA,26.8341967228909
134,1.25,"R",2024,-0.922852758592979,4.99014599796098,31.5509669831852
134,1.25,"T",2022,NA,NA,21.2337914972231
134,1.25,"T",2024,-1.31162478687319,3.51104221732373,19.4071043452501
134,1.5,"L",2022,NA,NA,32.9702671178145
134,1.5,"L",2024,NA,NA,39.3031394316691
134,1.5,"R",2022,NA,NA,20.6265369513758
134,1.5,"R",2024,-0.922852758592979,4.99014599796098,25.0504313789364
134,1.5,"T",2022,NA,NA,15.575179419336
134,1.5,"T",2024,-1.31162478687319,3.51104221732373,13.9814717363022
134,1.75,"L",2022,NA,NA,27.4037213823702
134,1.75,"L",2024,NA,NA,33.6381251799887
134,1.75,"R",2022,NA,NA,15.8549194149545
134,1.75,"R",2024,-0.922852758592979,4.99014599796098,19.8892196427842
134,1.75,"T",2022,NA,NA,11.4245359325598
134,1.75,"T",2024,-1.31162478687319,3.51104221732373,10.0726800060134
134,2,"L",2022,NA,NA,22.7770052004466
134,2,"L",2024,NA,NA,28.7896458651047
134,2,"R",2022,NA,NA,12.187138841934
134,2,"R",2024,-0.922852758592979,4.99014599796098,15.7913870629604
134,2,"T",2022,NA,NA,8.38000113901185
134,2,"T",2024,-1.31162478687319,3.51104221732373,7.25666685289718
134,2.25,"L",2022,NA,NA,18.9314421447493
134,2.25,"L",2024,NA,NA,24.6400090552972
134,2.25,"R",2022,NA,NA,9.36784030655411
134,2.25,"R",2024,-0.922852758592979,4.99014599796098,12.5378426027238
134,2.25,"T",2022,NA,NA,6.14680714423605
134,2.25,"T",2024,-1.31162478687319,3.51104221732373,5.22792482065337
134,2.5,"L",2022,NA,NA,15.7351459740178
134,2.5,"L",2024,NA,NA,21.0884860859305
134,2.5,"R",2022,NA,NA,7.20074113762809
134,2.5,"R",2024,-0.922852758592979,4.99014599796098,9.95463517574041
134,2.5,"T",2022,NA,NA,4.50873901347544
134,2.5,"T",2024,-1.31162478687319,3.51104221732373,3.76635699067427
134,2.75,"L",2022,NA,NA,13.0784975032829
134,2.75,"L",2024,NA,NA,18.0488669626068
134,2.75,"R",2022,NA,NA,5.53496550265196
134,2.75,"R",2024,-0.922852758592979,4.99014599796098,7.90365333351368
134,2.75,"T",2022,NA,NA,3.30720112322021
134,2.75,"T",2024,-1.31162478687319,3.51104221732373,2.71339880886583
134,3,"L",2022,NA,NA,10.8703851382004
134,3,"L",2024,NA,NA,15.4473676918522
134,3,"R",2022,NA,NA,4.2545402660647
134,3,"R",2024,-0.922852758592979,4.99014599796098,6.27524112270802
134,3,"T",2022,NA,NA,2.42586213944508
134,3,"T",2024,-1.31162478687319,3.51104221732373,1.95481551913018
134,3.25,"L",2022,NA,NA,9.03508013998912
134,3.25,"L",2024,NA,NA,13.2208392416903
134,3.25,"R",2022,NA,NA,3.27032081173643
134,3.25,"R",2024,-0.922852758592979,4.99014599796098,4.9823353184216
134,3.25,"T",2022,NA,NA,1.7793919693227
134,3.25,"T",2024,-1.31162478687319,3.51104221732373,1.40830890812894
134,3.5,"L",2022,NA,NA,7.50963945602575
134,3.5,"L",2024,NA,NA,11.3152346562459
134,3.5,"R",2022,NA,NA,2.513784696547
134,3.5,"R",2024,-0.922852758592979,4.99014599796098,3.95581057998913
134,3.5,"T",2022,NA,NA,1.3052002127435
134,3.5,"T",2024,-1.31162478687319,3.51104221732373,1.01458882503543
134,3.75,"L",2022,NA,NA,6.24174704437836
134,3.75,"L",2024,NA,NA,9.68429711497936
134,3.75,"R",2022,NA,NA,1.93226104237726
134,3.75,"R",2024,-0.922852758592979,4.99014599796098,3.14078365759439
134,3.75,"T",2022,NA,NA,0.957376241275328
134,3.75,"T",2024,-1.31162478687319,3.51104221732373,0.730940831194779
134,4,"L",2022,NA,NA,5.18791965901171
134,4,"L",2024,NA,NA,8.28843709038142
134,4,"R",2022,NA,NA,1.48526353152578
134,4,"R",2024,-0.922852758592979,4.99014599796098,2.49367905372232
134,4,"T",2022,NA,NA,0.7022441908984
134,4,"T",2024,-1.31162478687319,3.51104221732373,0.526592138139366
134,4.25,"L",2022,NA,NA,4.31201556182908
134,4.25,"L",2024,NA,NA,7.0937713481498
134,4.25,"R",2022,NA,NA,1.14167170465041
134,4.25,"R",2024,-0.922852758592979,4.99014599796098,1.97989925474087
134,4.25,"T",2022,NA,NA,0.515102508699843
134,4.25,"T",2024,-1.31162478687319,3.51104221732373,0.379373087554737
134,4.5,"L",2022,NA,NA,3.58399501679989
134,4.5,"L",2024,NA,NA,6.07130046245129
134,4.5,"R",2022,NA,NA,0.877564320090998
134,4.5,"R",2024,-0.922852758592979,4.99014599796098,1.57197497130677
134,4.5,"T",2022,NA,NA,0.377832380684314
134,4.5,"T",2024,-1.31162478687319,3.51104221732373,0.273311979304035
134,4.75,"L",2022,NA,NA,2.97889005646303
134,4.75,"L",2024,NA,NA,5.19620488119838
134,4.75,"R",2022,NA,NA,0.674553930661347
134,4.75,"R",2024,-0.922852758592979,4.99014599796098,1.24809649000971
134,4.75,"T",2022,NA,NA,0.277143491795266
134,4.75,"T",2024,-1.31162478687319,3.51104221732373,0.196902311949873
134,5,"L",2022,NA,NA,2.47594818823648
134,5,"L",2024,NA,NA,4.44724245396486
134,5,"R",2022,NA,NA,0.518506729311295
134,5,"R",2024,-0.922852758592979,4.99014599796098,0.990947614820883
134,5,"T",2022,NA,NA,0.203287274916355
134,5,"T",2024,-1.31162478687319,3.51104221732373,0.141854449812009
134,5.25,"L",2022,NA,NA,2.05792067334984
134,5.25,"L",2024,NA,NA,3.80623279807745
134,5.25,"R",2022,NA,NA,0.398558537902984
134,5.25,"R",2024,-0.922852758592979,4.99014599796098,0.786779854906532
134,5.25,"T",2022,NA,NA,0.149113067296728
134,5.25,"T",2024,-1.31162478687319,3.51104221732373,0.102196285722591
134,5.5,"L",2022,NA,NA,1.71047096943377
134,5.5,"L",2024,NA,NA,3.25761598633879
134,5.5,"R",2022,NA,NA,0.306358431155473
134,5.5,"R",2024,-0.922852758592979,4.99014599796098,0.62467736016362
134,5.5,"T",2022,NA,NA,0.10937579269429
134,5.5,"T",2024,-1.31162478687319,3.51104221732373,0.073625330959545
134,5.75,"L",2022,NA,NA,1.42168304889678
134,5.75,"L",2024,NA,NA,2.78807484392711
134,5.75,"R",2022,NA,NA,0.235487336023118
134,5.75,"R",2024,-0.922852758592979,4.99014599796098,0.495973304180934
134,5.75,"T",2022,NA,NA,0.0802281399235014
