"lake","date","year","doy","depth","IrradianceWater_uEinst_m2_s","IrradianceDeck_uEinst_m2_s","water_over_deck","Percent_surface_irradiance"
"R",2022-05-30,2022,150,0,490,366,1.338797814,1
"R",2022-05-30,2022,150,0.25,420,362,1.160220994,0.8666140489
"R",2022-05-30,2022,150,0.5,313,400,0.7825,0.5844795918
"R",2022-05-30,2022,150,0.75,244,416,0.5865384615,0.4381083203
"R",2022-05-30,2022,150,1,201,478,0.4205020921,0.3140893177
"R",2022-05-30,2022,150,1.5,133,460,0.2891304348,0.2159627329
"R",2022-05-30,2022,150,2,90,473,0.1902748414,0.1421236571
"R",2022-05-30,2022,150,2.5,61.1,478,0.1278242678,0.09547690206
"R",2022-05-30,2022,150,3,39.2,472,0.08305084746,0.06203389831
"R",2022-05-30,2022,150,3.5,16.1,428,0.03761682243,0.02809746328
"R",2022-05-30,2022,150,4,9,415,0.02168674699,0.01619867224
"R",2022-05-30,2022,150,4.5,3.4,402,0.008457711443,0.006317392629
"L",2022-05-31,2022,151,0,1747,1500,1.164666667,1
"L",2022-05-31,2022,151,0.25,1475,1487,0.9919300605,0.851685799
"L",2022-05-31,2022,151,0.5,1270,1500,0.8466666667,0.7269605037
"L",2022-05-31,2022,151,0.75,1025,1511,0.6783587028,0.5824488004
"L",2022-05-31,2022,151,1,840,1513,0.5551883675,0.4766929314
"L",2022-05-31,2022,151,1.5,625,1609,0.3884400249,0.3335203419
"L",2022-05-31,2022,151,2,472,1594,0.2961104141,0.2542447745
"L",2022-05-31,2022,151,2.5,324,1598,0.2027534418,0.1740870994
"L",2022-05-31,2022,151,3,255,1512,0.1686507937,0.1448060621
"L",2022-05-31,2022,151,3.5,163,1597,0.1020663745,0.08763569644
"L",2022-05-31,2022,151,4,112,1590,0.07044025157,0.06048104027
"L",2022-05-31,2022,151,4.5,78,1614,0.04832713755,0.041494394
"L",2022-05-31,2022,151,5,59,1609,0.03666873835,0.03148432027
"L",2022-05-31,2022,151,5.5,38,1629,0.0233271946,0.02002907378
"L",2022-05-31,2022,151,6,26,1618,0.01606922126,0.01379727069
"L",2022-05-31,2022,151,6.5,10,1614,0.006195786865,0.005319794103
"T",2022-06-02,2022,153,0,1735,1518,1.142951252,1
"T",2022-06-02,2022,153,0.25,1376,1511,0.9106551952,0.7967576867
"T",2022-06-02,2022,153,0.5,847,1511,0.5605559232,0.490446047
"T",2022-06-02,2022,153,0.75,658.9,1490,0.4422147651,0.3869060596
"T",2022-06-02,2022,153,1,493.8,1511,0.3268034414,0.2859294663
"T",2022-06-02,2022,153,1.5,299.9,1482,0.2023616734,0.1770518849
"T",2022-06-02,2022,153,2,181.1,1438,0.1259388039,0.11018738
"T",2022-06-02,2022,153,2.5,111.8,1505,0.07428571429,0.064994648
