"lake","year","doy","ZID","depth","depth.rounded","manual.chl"
"R",2022,150,1,0,0,8.00174405369263
"R",2022,150,2,0.65,0.75,8.9770968510221
"R",2022,150,3,1.3,1.25,10.1106855718517
"R",2022,150,4,2.4,2.5,18.2580988263464
"R",2022,150,5,3.2,3.25,40.0363512692558
"R",2022,150,6,4.3,4.25,128.832770793079
"L",2022,151,1,0,0,5.70343329217923
"L",2022,151,2,0.95,1,7.15685981828758
"L",2022,151,3,2,2,11.4562794260356
"L",2022,151,4,3.4,3.5,14.1454217226565
"L",2022,151,5,4.2,4.25,22.4840271488694
"L",2022,151,6,6.2,6.25,90.7222643946526
"T",2022,153,1,0,0,9.55838851574889
"T",2022,153,2,0.55,0.5,9.91037875831356
"T",2022,153,3,1.2,1.25,12.2988814125441
"T",2022,153,4,2.2,2.25,16.4962098550259
"T",2022,153,5,2.7,2.75,29.0173593440758
"T",2022,153,6,3.8,3.75,33.4171835495092
"R",2022,157,1,0,0,12.5080516769858
"R",2022,157,2,0.7,0.75,15.3516405027124
"R",2022,157,3,1.4,1.5,11.7817152003061
"R",2022,157,4,2.6,2.5,13.7871158227678
"R",2022,157,5,3.3,3.25,31.2342268336425
"R",2022,157,6,4.3,4.25,94.9569126304127
"L",2022,158,1,0,0,9.66898428775259
"L",2022,158,2,0.85,0.75,9.23166090248033
"L",2022,158,3,1.8,1.75,9.70795476419517
"L",2022,158,4,3,3,15.0014803653951
"L",2022,158,5,4,4,34.5840371245398
"L",2022,158,6,5.6,5.5,44.2077711629424
"T",2022,159,1,0,0,10.6075053198697
"T",2022,159,2,0.65,0.75,10.3656802363093
"T",2022,159,3,1.2,1.25,9.9208928923814
"T",2022,159,4,2.1,2,12.9577910704065
"T",2022,159,5,2.6,2.5,33.7574754722578
"T",2022,159,6,3.4,3.5,38.5802334119014
"R",2022,164,1,0,0,10.503691702606
"R",2022,164,2,0.7,0.75,11.9215567718501
"R",2022,164,3,1.3,1.25,14.4226647254146
"R",2022,164,4,2.6,2.5,18.0049342671361
"R",2022,164,5,3.3,3.25,18.0951476905032
"R",2022,164,6,4.2,4.25,143.33384512186
"L",2022,165,1,0,0,8.06532765149061
"L",2022,165,2,1,1,7.19279698499379
"L",2022,165,3,1.9,2,7.99905774626492
"L",2022,165,4,3.3,3.25,12.1249395975804
"L",2022,165,5,4.4,4.5,22.9397789762937
"L",2022,165,6,6.4,6.5,119.323884471205
"T",2022,166,1,0,0,17.9513803637817
"T",2022,166,2,0.6,0.5,16.9351817703974
"T",2022,166,3,1,1,15.7878604421738
"T",2022,166,4,1.8,1.75,20.3248876379976
"T",2022,166,5,2.4,2.5,24.1348158132886
"T",2022,166,6,3.4,3.5,36.9259341750049
"R",2022,171,1,0,0,7.02954190814185
"R",2022,171,2,0.8,0.75,8.16427893030313
"R",2022,171,3,1.6,1.5,9.31010423719807
"R",2022,171,4,2.6,2.5,10.9951646725484
"R",2022,171,5,3.4,3.5,21.7355858715556
"R",2022,171,6,4.4,4.5,236.366776718043
"L",2022,172,1,0,0,7.77794730103906
"L",2022,172,2,1.1,1,6.5253658547181
"L",2022,172,3,2.2,2.25,7.07723229782158
"L",2022,172,4,3.2,3.25,8.34158383279187
"L",2022,172,5,4.7,4.75,26.1738064027658
