"lake","year","doy","ZID","depth","depth.rounded","manual.chl"
"R",2022,150,1,0,0,27.5497550291576
"R",2022,150,2,0.65,0.75,33.715951674085
"R",2022,150,3,1.3,1.25,37.0406983986129
"R",2022,150,4,2.4,2.5,60.8467116834601
"R",2022,150,5,3.2,3.25,138.093823113573
"R",2022,150,6,4.3,4.25,459.769814657774
"L",2022,151,1,0,0,20.3572559762236
"L",2022,151,2,0.95,1,24.8047003729695
"L",2022,151,3,2,2,40.4263021690396
"L",2022,151,4,3.4,3.5,50.3781515427172
"L",2022,151,5,4.2,4.25,79.1985557603958
"L",2022,151,6,6.2,6.25,310.530253237066
"T",2022,153,1,0,0,28.4173698193677
"T",2022,153,2,0.55,0.5,29.5196861224403
"T",2022,153,3,1.2,1.25,39.3673321580931
"T",2022,153,4,2.2,2.25,50.4229331425296
"T",2022,153,5,2.7,2.75,85.1272376893956
"T",2022,153,6,3.8,3.75,97.8070328516407
"R",2022,157,1,0,0,46.435648390009
"R",2022,157,2,0.7,0.75,57.0043930072551
"R",2022,157,3,1.4,1.5,42.5591693908703
"R",2022,157,4,2.6,2.5,45.9005656845592
"R",2022,157,5,3.3,3.25,99.8098611970932
"R",2022,157,6,4.3,4.25,339.628820084348
"L",2022,158,1,0,0,35.9989520799018
"L",2022,158,2,0.85,0.75,34.6379933317593
"L",2022,158,3,1.8,1.75,34.8992193306645
"L",2022,158,4,3,3,54.248028126499
"L",2022,158,5,4,4,128.102933370828
"L",2022,158,6,5.6,5.5,155.918909269639
"T",2022,159,1,0,0,33.7116457510261
"T",2022,159,2,0.65,0.75,32.9575350926481
"T",2022,159,3,1.2,1.25,30.3401079959251
"T",2022,159,4,2.1,2,38.7128318531437
"T",2022,159,5,2.6,2.5,104.265343316882
"T",2022,159,6,3.4,3.5,110.626339920993
"R",2022,164,1,0,0,34.3103269400556
"R",2022,164,2,0.7,0.75,39.7853942278795
"R",2022,164,3,1.3,1.25,48.701591599282
"R",2022,164,4,2.6,2.5,58.5846179694018
"R",2022,164,5,3.3,3.25,58.6074738089983
"R",2022,164,6,4.2,4.25,542.237140142932
"L",2022,165,1,0,0,28.7557407357958
"L",2022,165,2,1,1,26.053518531582
"L",2022,165,3,1.9,2,28.8237025547417
"L",2022,165,4,3.3,3.25,40.0194699465908
"L",2022,165,5,4.4,4.5,72.4233063930978
"L",2022,165,6,6.4,6.5,375.936130796957
"T",2022,166,1,0,0,56.5251753475712
"T",2022,166,2,0.6,0.5,52.2474474728832
"T",2022,166,3,1,1,45.8893272253755
"T",2022,166,4,1.8,1.75,54.3945759118849
"T",2022,166,5,2.4,2.5,77.1591959637118
"T",2022,166,6,3.4,3.5,116.407951612609
"R",2022,171,1,0,0,24.9648807107597
"R",2022,171,2,0.8,0.75,28.6168775877623
"R",2022,171,3,1.6,1.5,32.1474474345046
"R",2022,171,4,2.6,2.5,36.2182670943673
"R",2022,171,5,3.4,3.5,70.3295025052573
"R",2022,171,6,4.4,4.5,917.920315183873
"L",2022,172,1,0,0,28.1105010360383
"L",2022,172,2,1.1,1,22.2857353835262
"L",2022,172,3,2.2,2.25,24.0414037453991
"L",2022,172,4,3.2,3.25,28.5729571725618
"L",2022,172,5,4.7,4.75,86.7942040362557
"L",2022,172,6,6.3,6.25,361.093559471315
"T",2022,173,1,0,0,44.1026992767092
"T",2022,173,2,0.6,0.5,42.4698932527829
"T",2022,173,3,1.8,1.75,51.9320156438975
"T",2022,173,4,2.2,2.25,64.7074022980496
"T",2022,173,5,2.5,2.5,70.8697523183778
"T",2022,173,6,3.8,3.75,193.444454604682
"R",2022,178,1,0,0,27.8662805626003
"R",2022,178,2,0.65,0.75,25.4569615979282
