well,poc,date,lake,tray,Run ID,Carbon (mg),Notes
,,,,,ET1,0.004,empty tin; below detection limit
,,,,,FB1,0.052,filter blank (filter+tin)
A1,1,6/8/2022,T,Light Depths 1,1A001,0.099,
A2,2,6/29/2022,T,Light Depths 1,1A002,0.124,
A3,4,6/29/2022,T,Light Depths 1,1A003,0.132,
A4,2,6/28/2022,L,Light Depths 1,1A004,0.075,
A5,4,6/27/2022,R,Light Depths 1,1A005,0.078,
A6,5,6/27/2022,R,Light Depths 1,1A006,0.088,
A7,1,6/28/2022,L,Light Depths 1,1A007,0.061,
A8,4,6/28/2022,L,Light Depths 1,1A008,0.076,
B1,6,6/27/2022,R,Light Depths 1,1B001,0.222,
B2,6,6/28/2022,L,Light Depths 1,1B002,0.278,
B3,5,6/28/2022,L,Light Depths 1,1B003,0.106,
B4,5,6/22/2022,T,Light Depths 1,1B004,0.149,
B5,3,6/28/2022,L,Light Depths 1,1B005,0.061,
B6,1,6/6/2022,R,Light Depths 1,1B006,0.074,
B7,2,6/27/2022,R,Light Depths 1,1B007,0.078,
B8,3,6/8/2022,T,Light Depths 1,1B008,0.097,
C1,1,6/27/2022,R,Light Depths 1,1C001,0.061,
C2,2,6/6/2022,R,Light Depths 1,1C002,0.077,
C3,3,6/29/2022,T,Light Depths 1,1C003,0.124,
C4,3,6/27/2022,R,Light Depths 1,1C004,0.073,
C5,1,6/22/2022,T,Light Depths 1,1C005,0.123,
C6,2,5/30/2022,R,Light Depths 1,1C006,0.099,
C7,5,5/30/2022,R,Light Depths 1,1C007,0.136,
C8,6,5/30/2022,R,Light Depths 1,1C008,0.237,
D1,1,6/7/2022,L,Light Depths 1,1D001,0.105,
D2,1,5/30/2022,R,Light Depths 1,,,No data
D3,6,6/13/2022,R,Light Depths 1,,,No data
D4,2,6/13/2022,R,Light Depths 1,1D004,0.486,
D5,6,5/31/2022,L,Light Depths 1,1D005,0.35,
D6,4,5/30/2022,R,Light Depths 1,1D006,0.116,
D7,1,6/13/2022,R,Light Depths 1,,,No data
D8,5,6/13/2022,R,Light Depths 1,1D008,0.106,
E1,2,6/8/2022,T,Light Depths 1,1E001,0.122,
E2,2,6/20/2022,R,Light Depths 1,1E002,0.076,
E3,3,6/13/2022,R,Light Depths 1,1E003,0.076,
E4,1,6/29/2022,T,Light Depths 1,1E004,0.143,
E5,3,5/30/2022,R,Light Depths 1,1E005,0.086,
E6,4,6/13/2022,R,Light Depths 1,1E006,0.099,
E7,6,6/20/2022,R,Light Depths 1,1E007,0.384,
E8,1,6/20/2022,R,Light Depths 1,1E008,0.079,
F1,3,6/20/2022,R,Light Depths 1,,,No data
F2,2,6/22/2022,T,Light Depths 1,1F002,0.141,
F3,5,6/20/2022,R,Light Depths 1,1F003,0.158,
F4,4,6/22/2022,T,Light Depths 1,1F004,0.147,
F5,4,6/20/2022,R,Light Depths 1,1F005,0.085,
F6,3,6/22/2022,T,Light Depths 1,1F006,0.143,
F7,6,6/22/2022,T,Light Depths 1,1F007,0.175,Fell out of tray - may have mixed up with 1F8
F8,5,5/31/2022,L,Light Depths 1,1F008,0.149,Fell out of tray - may have mixed up with 1F7
A1,5,6/29/2022,T,Light Depths 2,2A001,0.136,
A2,6,6/29/2022,T,Light Depths 2,2A002,0.154,
