Lake,Date,DOY,Year,Depth,IrradianceWater_uEinst_m2_s,IrradianceDeck_uEinst_m2_s,water_over_deck,Percent_surface_irradiance
R,5/13/2024,134,2024,0,1677,1464,1.15,1
R,5/13/2024,134,2024,0.25,1205,1460,0.83,0.72
R,5/13/2024,134,2024,0.5,1043,1463,0.71,0.62
R,5/13/2024,134,2024,0.75,847,1464,0.58,0.51
R,5/13/2024,134,2024,1,742,1472,0.5,0.44
R,5/13/2024,134,2024,1.5,441,1463,0.3,0.26
R,5/13/2024,134,2024,2,292,1466,0.2,0.17
R,5/13/2024,134,2024,2.5,195,1465,0.13,0.12
R,5/13/2024,134,2024,3,128,1475,0.09,0.08
R,5/13/2024,134,2024,3.5,77,1466,0.05,0.05
R,5/13/2024,134,2024,4,46,1457,0.03,0.03
R,5/13/2024,134,2024,4.5,25,1462,0.02,0.01
T,5/13/2024,134,2024,0,1489,1399,1.06,1
T,5/13/2024,134,2024,0.25,1230,1370,0.9,0.84
T,5/13/2024,134,2024,0.5,682,1307,0.52,0.49
T,5/13/2024,134,2024,0.75,502,1354,0.37,0.35
T,5/13/2024,134,2024,1,362,1378,0.26,0.25
T,5/13/2024,134,2024,1.5,195,1383,0.14,0.13
T,5/13/2024,134,2024,2,100.4,1356,0.07,0.07
T,5/13/2024,134,2024,2.5,54,1389,0.04,0.04
T,5/13/2024,134,2024,3,27.6,1372,0.02,0.02
T,5/13/2024,134,2024,3.5,10.3,1346,0.01,0.01
R,5/16/2024,137,2024,0,116.4,70.5,1.65,1
R,5/16/2024,137,2024,0.25,87.74,83.71,1.05,0.63
R,5/16/2024,137,2024,0.5,61.18,82.02,0.75,0.45
R,5/16/2024,137,2024,0.75,42.7,81.55,0.52,0.32
R,5/16/2024,137,2024,1,35.78,79.15,0.45,0.27
R,5/16/2024,137,2024,1.5,17.31,78.06,0.22,0.13
R,5/16/2024,137,2024,2,10.39,78.18,0.13,0.08
R,5/16/2024,137,2024,2.5,6.92,79.88,0.09,0.05
R,5/16/2024,137,2024,3,5.76,82.48,0.07,0.04
R,5/16/2024,137,2024,3.5,3.46,85.7,0.04,0.02
R,5/16/2024,137,2024,4,1.15,88.9,0.01,0.01
R,5/17/2024,138,2024,0,1782,1543,1.15,1
R,5/17/2024,138,2024,0.25,1490,1543,0.97,0.84
R,5/17/2024,138,2024,0.5,1100,1546,0.71,0.62
R,5/17/2024,138,2024,0.75,873.5,1562,0.56,0.49
R,5/17/2024,138,2024,1,698.3,1590,0.44,0.38
R,5/17/2024,138,2024,1.5,427,1594,0.27,0.23
R,5/17/2024,138,2024,2,266.6,1594,0.17,0.15
R,5/17/2024,138,2024,2.5,174.2,1595,0.11,0.1
R,5/17/2024,138,2024,3,115.4,1604,0.07,0.06
R,5/17/2024,138,2024,3.5,72.64,1611,0.05,0.04
R,5/17/2024,138,2024,4,43.78,1616,0.03,0.02
R,5/17/2024,138,2024,4.5,23.01,1624,0.01,0.01
T,5/17/2024,138,2024,0,2113,1938,1.09,1
T,5/17/2024,138,2024,0.25,1594,1886,0.85,0.78
T,5/17/2024,138,2024,0.5,955.7,1997,0.48,0.44
T,5/17/2024,138,2024,0.75,645.2,2026,0.32,0.29
T,5/17/2024,138,2024,1,124.6,648.5,0.19,0.17
T,5/17/2024,138,2024,1.5,58.82,607,0.1,0.09
T,5/17/2024,138,2024,2,31.12,638,0.05,0.05
T,5/17/2024,138,2024,2.5,14.96,728,0.02,0.02
T,5/17/2024,138,2024,3,8.034,593,0.01,0.01
R,5/18/2024,139,2024,0,1759,1748,1.01,1
R,5/18/2024,139,2024,0.25,1320,1547,0.85,0.84
R,5/18/2024,139,2024,0.5,1267,1954,0.65,0.64
R,5/18/2024,139,2024,0.75,1031,1955,0.53,0.52
R,5/18/2024,139,2024,1,766,1980,0.39,0.38
R,5/18/2024,139,2024,1.5,491,1939,0.25,0.25
