"Lake","Date","Year","DoY","Blank_Before","Blank_After","SS_Before","SS_After","ZID","Depth_m","Vol_Filtered_mL","Vol_Solvent_mL","Fb_1","Fa_1","Fb_2","Fa_2","Fb_3","Fa_3","R","m","Q","chl.1","chl.2","chl.3","Mean_Chl"
"R","5/24/2021",2021,144,487.14,453.18,"60,231",60378,1,0,200,25,156149,89617,150012,93405,160049,94274,2.2362188,0.0004761,0.000107653249841371,7.1623860184461,6.0939275137705,7.08089250831619,6.7790686801776
"R","5/24/2021",2021,144,487.14,453.18,"60,231",60378,2,0.6,200,25,157246,92983,158518,94080,164887,98178,2.2362188,0.0004761,0.000107653249841371,6.91812079455603,6.93696011327827,7.18144064366803,7.01217385050078
"R","5/24/2021",2021,144,487.14,453.18,"60,231",60378,3,1.3,200,25,138657,81858,132214,79107,145691,87799,2.2362188,0.0004761,0.000107653249841371,6.11459693774004,5.7171411393257,6.23226193981666,6.0213333389608
"R","5/24/2021",2021,144,487.14,453.18,"60,231",60378,4,2.4,200,25,204651,122310,214726,125379,213228,126108,2.2362188,0.0004761,0.000107653249841371,8.86427624518834,9.61849491357699,9.37875112618025,9.28717409498186
"R","5/24/2021",2021,144,487.14,453.18,"60,231",60378,5,3.3,200,25,431535,266684,414279,263210,417206,263058,2.2362188,0.0004761,0.000107653249841371,17.7467458895999,16.2630688002861,16.5945331565477,16.8681159488112
"R","5/24/2021",2021,144,487.14,453.18,"60,231",60378,6,4.5,200,25,566112,347411,573985,385650,582595,370863,2.2362188,0.0004761,0.000107653249841371,23.5438733935577,20.2748748088746,22.7936378954132,22.2041286992818
"R","5/30/2022",2022,150,441.81,471.7,"62309",58446,1,0,200,25,76473,41204,73352,42166,73161.6,43645,2.2362188,0.0004761,0.000107653249841371,3.79682246865532,3.357274249553,3.17755791426782,3.44388487749204
"R","5/30/2022",2022,150,441.81,471.7,"62309",58446,2,0.65,200,25,80039,41883,89281,47872,80847,42960,2.2362188,0.0004761,0.000107653249841371,4.10761740094736,4.45781342268134,4.07865867674003,4.21469650012291
"R","5/30/2022",2022,150,441.81,471.7,"62309",58446,3,1.3,200,25,101371,54887,94636,50138,85750,47698,2.2362188,0.0004761,0.000107653249841371,5.0041536656263,4.79035431144133,4.09642146296385,4.63030981334383
"R","5/30/2022",2022,150,441.81,471.7,"62309",58446,4,2.4,200,25,160382,94880,181428,105475,166993,96484,2.2362188,0.0004761,0.000107653249841371,7.05150317110949,8.17658728520166,7.59052299306524,7.60620448312546
